NpcNumber,Context0,Context1,Context2,Context3,Context4,Context5,Context6,Context7,Context8,Context9,Context10,Context11,Context12,Context13,Context14,Context15
0-8,1111,휴.....,이게 마지막인가,아이구 힘들다....,이제 쓰레기도 다 치웠으니 잠깐만 쉴까?
0-7,1,응......?
0-6,1111,이게 뭐지?,펜던트?,이게 왜 여기 떨어져 있지?,주인도 없는거 같은데 내가 가져야지
0-5,11,카무챠기야!, 갑자기 어디서 나타난거야??
0-4,222221113131313,후아아아아,갑갑해 죽는줄 알았네,아 안녕?,너가 새로운 친구구나,난 펜던트에서 나왔어,뭐? 무슨 소릴 하는거야,(펜던트를 빼려고 한다),뭐야 이거 왜 안빠져??,아 그거 한번 차면 바로 빠지진 않아,뭐? 어떻게 빼야 되는데,벗어나고 싶어?,응 제발 자비점요...,그럼 앞으로 내가 하라는 대로 하면 빠질거야,ㅇㅋ,앞으로 다양한 직업을 거쳐서 사람들에게 평판을 쌓아. 잘 하면 빠질지도?
0-3,13133,알겠어............ 아니 내가 그걸 왜 해?,이거 하면 신분도 바꿀 수 있는데?,오 개꿀,우선 넌 평판이 낮으니까 평범한 직업으로 시작하는게 좋겠다,음....상인하고 대장장이가 있는데 어떤게 좋아?
0-2,,대장장이,,모험가,
0-1,33,좋아! 그럼 그 직업으로 시작하자~, 옆에 포탈을 타고 이동해봐
0-0,3,뭐해? 포탈을 타보라니까?
1-5,3333,여기는 대장간이야!,대장간에서는 주조와 제작을 할 수 있어,주조는 탐험 등과 같은 일을 통해 재료를 얻어서 구리<c> 은 등을 만들수 있고<br>제작은 구리나 은 등을 통해 무기 등을 만들 수 있어, 만약 제대로 제작에 성공한다면 앞으로 너의 직업은 대장장이가 될거야!
1-4,313,우선 주조에 필요한 재료를 얻으러 탐험을 가자!,탐험이 뭐하는건데?,아 그냥 가봐ㅋㅋㅋ
1-3,31333333,어때? 이제 탐험이 뭔지 알겠지?,아니?,아 ㅋㅋㅋ,암튼 그런식으로 탐험을 가서 재료를 얻을 수 있어,I키를 누르면 인벤토리에 들어간게 보일건데 나중에 또 탐험가면 그 때 봐,그럼 이제 주조를 하러 갈까?,주조는 먼저 재료가 필요한데 이번엔 내가 줄게,이거가지고 오른쪽 포탈을 타고 이동해서 거기있는 애를 통해 주조를 하고 나와봐
1-2,333,응???,어디 가..... 여긴 주조하는 곳이 아니야,오른쪽 포탈을 타보라니까?
1-1,3333333,그래 잘 했어?,.............,성공했구나?,앞으로는 그렇게 주조를 통해서 특정 재료를 얻을 수 있을거야,그러면 이제 마지막으로 제작을 해보자,제작은 탐험이나 주조를 통해 얻은 것으로 특정 아이템을 만들 수 있어,이번에도 필요한 재료는 내가 줄테니까 왼쪽 포탈을 타고 이동해서 제작을 하고 나와봐
1-0,3313333313,와 전부 완료했구나!,생각보다 대장장이에 소질이 있을지도?,?,아 말이 그렇다고ㅋㅋㅋ,그래도 잘했어! 이정도면 진짜 대장장이로서 살아가도 될거 같아,아까 말했던 거처럼 대장장이들의 평판을 쌓아나가면 돼,그리고 더 높은 직업으로 변하기 위해서는 그 직업에 해당하는 평판을 쌓아야 직업이 변할거야,제한 시간이 있으니까 그 시간 안에 다음 직업 평판까지 쌓지 못하면 죽음이 기다릴지도...?,헉,암튼 이제 잘해봐~
2-0,313333,이제 정말 대장장이가 되었어!,와... 나 정말 신분이 바뀐거야?,맞아~ 이젠 노예에서 벗어나서 새로운 일들을 하게 될거야,대장장이는 제작을 통해 대장장이 평판을 올릴 수 있어,제작을 위한 일도 있고 더 높은 직업을 위한 일도 있으니까 너의 활동 포인트에 맞게 잘 생각해서 일을 해야 할거야,일정 시간이 지나면 다시 나올게
3-3,5,머선 일인고?
3-2,,대화,퀘스트 수주,도움말,교환,닫기,
3-1,55,그냥 의미없는대사?,대사랑 도움말이랑 뭐가 다를까?
3-0,55555,도,도움,도움말,도움말 대, 도움말 대사

4-0,메인 퀘스트 말고도 서브퀘스트가 여러 개 존재 한다네.,메인퀘스트를 완료했다면 서브퀘스트를 해보는 것은 어떤가?
4-1,어허 돌쇠야.. 많이 늦었구나?,잘 가져왔는지 확인해보도록 하지.
4-2,음. 잘 받았다. 고생했구나.,아직 할 일은 많단다.
